Temp (K)	alpha (K^-1) 
4.0000	-2.3418e-05
4.2963	-2.2904e-05
4.5926	-2.2390e-05
4.8889	-2.1877e-05
5.1852	-2.1365e-05
5.4815	-2.0853e-05
5.7778	-2.0341e-05
6.0741	-1.9831e-05
6.3704	-1.9320e-05
6.6667	-1.8810e-05
6.9630	-1.8301e-05
7.2593	-1.7792e-05
7.5556	-1.7284e-05
7.8519	-1.6776e-05
8.1481	-1.6269e-05
8.4444	-1.5762e-05
8.7407	-1.5256e-05
9.0370	-1.4751e-05
9.3333	-1.4246e-05
9.6296	-1.3741e-05
9.9259	-1.3237e-05
10.2222	-1.2734e-05
10.5185	-1.2231e-05
10.8148	-1.1728e-05
11.1111	-1.1226e-05
11.4074	-1.0725e-05
11.7037	-1.0224e-05
12.0000	-9.7239e-06
12.2963	-9.2241e-06
12.5926	-8.7249e-06
12.8889	-8.2262e-06
13.1852	-7.7280e-06
13.4815	-7.2304e-06
13.7778	-6.7333e-06
14.0741	-6.2367e-06
14.3704	-5.7406e-06
14.6667	-5.2451e-06
14.9630	-4.7501e-06
15.2593	-4.2556e-06
15.5556	-3.7617e-06
15.8519	-3.2683e-06
16.1481	-2.7754e-06
16.4444	-2.2831e-06
16.7407	-1.7913e-06
17.0370	-1.3000e-06
17.3333	-8.0926e-07
17.6296	-3.1904e-07
17.9259	1.7065e-07
18.2222	6.5981e-07
18.5185	1.1484e-06
18.8148	1.6365e-06
19.1111	2.1241e-06
19.4074	2.6112e-06
19.7037	3.0977e-06
20.0000	3.5836e-06
20.2963	4.0691e-06
20.5926	4.5540e-06
20.8889	5.0384e-06
21.1852	5.5223e-06
21.4815	6.0056e-06
21.7778	6.4884e-06
22.0741	6.9707e-06
22.3704	7.4524e-06
22.6667	7.9336e-06
22.9630	8.4143e-06
23.2593	8.8944e-06
23.5556	9.3740e-06
23.8519	9.8531e-06
24.1481	1.0332e-05
24.4444	1.0810e-05
24.7407	1.1287e-05
25.0370	1.1764e-05
25.3333	1.2241e-05
25.6296	1.2717e-05
25.9259	1.3192e-05
26.2222	1.3667e-05
26.5185	1.4141e-05
26.8148	1.4615e-05
27.1111	1.5088e-05
27.4074	1.5561e-05
27.7037	1.6033e-05
28.0000	1.6505e-05
28.2963	1.6976e-05
28.5926	1.7446e-05
28.8889	1.7916e-05
29.1852	1.8386e-05
29.4815	1.8855e-05
29.7778	1.9324e-05
30.0741	1.9791e-05
30.3704	2.0259e-05
30.6667	2.0726e-05
30.9630	2.1192e-05
31.2593	2.1658e-05
31.5556	2.2123e-05
31.8519	2.2588e-05
32.1481	2.3052e-05
32.4444	2.3516e-05
32.7407	2.3979e-05
33.0370	2.4442e-05
33.3333	2.4904e-05
33.6296	2.5366e-05
33.9259	2.5827e-05
34.2222	2.6287e-05
34.5185	2.6747e-05
34.8148	2.7207e-05
35.1111	2.7666e-05
35.4074	2.8124e-05
35.7037	2.8582e-05
36.0000	2.9039e-05
36.2963	2.9496e-05
36.5926	2.9952e-05
36.8889	3.0408e-05
37.1852	3.0863e-05
37.4815	3.1318e-05
37.7778	3.1772e-05
38.0741	3.2226e-05
38.3704	3.2679e-05
38.6667	3.3132e-05
38.9630	3.3584e-05
39.2593	3.4035e-05
39.5556	3.4486e-05
39.8519	3.4937e-05
40.1481	3.5386e-05
40.4444	3.5836e-05
40.7407	3.6285e-05
41.0370	3.6733e-05
41.3333	3.7181e-05
41.6296	3.7628e-05
41.9259	3.8075e-05
42.2222	3.8521e-05
42.5185	3.8967e-05
42.8148	3.9412e-05
43.1111	3.9857e-05
43.4074	4.0301e-05
43.7037	4.0744e-05
44.0000	4.1187e-05
44.2963	4.1630e-05
44.5926	4.2072e-05
44.8889	4.2513e-05
45.1852	4.2954e-05
45.4815	4.3394e-05
45.7778	4.3834e-05
46.0741	4.4274e-05
46.3704	4.4712e-05
46.6667	4.5151e-05
46.9630	4.5588e-05
47.2593	4.6026e-05
47.5556	4.6462e-05
47.8519	4.6898e-05
48.1481	4.7334e-05
48.4444	4.7769e-05
48.7407	4.8204e-05
49.0370	4.8638e-05
49.3333	4.9071e-05
49.6296	4.9504e-05
49.9259	4.9937e-05
50.2222	5.0369e-05
50.5185	5.0800e-05
50.8148	5.1231e-05
51.1111	5.1661e-05
51.4074	5.2091e-05
51.7037	5.2520e-05
52.0000	5.2949e-05
52.2963	5.3377e-05
52.5926	5.3805e-05
52.8889	5.4232e-05
53.1852	5.4658e-05
53.4815	5.5084e-05
53.7778	5.5510e-05
54.0741	5.5935e-05
54.3704	5.6359e-05
54.6667	5.6783e-05
54.9630	5.7207e-05
55.2593	5.7630e-05
55.5556	5.8052e-05
55.8519	5.8474e-05
56.1481	5.8895e-05
56.4444	5.9316e-05
56.7407	5.9736e-05
57.0370	6.0156e-05
57.3333	6.0575e-05
57.6296	6.0994e-05
57.9259	6.1412e-05
58.2222	6.1829e-05
58.5185	6.2247e-05
58.8148	6.2663e-05
59.1111	6.3079e-05
59.4074	6.3494e-05
59.7037	6.3909e-05
60.0000	6.4324e-05
60.2963	6.4738e-05
60.5926	6.5151e-05
60.8889	6.5564e-05
61.1852	6.5976e-05
61.4815	6.6388e-05
61.7778	6.6799e-05
62.0741	6.7210e-05
62.3704	6.7620e-05
62.6667	6.8030e-05
62.9630	6.8439e-05
63.2593	6.8847e-05
63.5556	6.9255e-05
63.8519	6.9663e-05
64.1481	7.0070e-05
64.4444	7.0476e-05
64.7407	7.0882e-05
65.0370	7.1288e-05
65.3333	7.1692e-05
65.6296	7.2097e-05
65.9259	7.2501e-05
66.2222	7.2904e-05
66.5185	7.3307e-05
66.8148	7.3709e-05
67.1111	7.4111e-05
67.4074	7.4512e-05
67.7037	7.4912e-05
68.0000	7.5312e-05
68.2963	7.5712e-05
68.5926	7.6111e-05
68.8889	7.6509e-05
69.1852	7.6907e-05
69.4815	7.7305e-05
69.7778	7.7702e-05
70.0741	7.8098e-05
70.3704	7.8494e-05
70.6667	7.8889e-05
70.9630	7.9284e-05
71.2593	7.9678e-05
71.5556	8.0072e-05
71.8519	8.0465e-05
72.1481	8.0858e-05
72.4444	8.1250e-05
72.7407	8.1642e-05
73.0370	8.2033e-05
73.3333	8.2423e-05
73.6296	8.2813e-05
73.9259	8.3203e-05
74.2222	8.3592e-05
74.5185	8.3980e-05
74.8148	8.4368e-05
75.1111	8.4755e-05
75.4074	8.5142e-05
